Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSC001,Chrome 81.0.4044.138,,,2020-05-09 10:07:00,2020-05-09 10:07:50,49.128s,PASSED
,,,,,,,
Test Cases/TC001_First User,Chrome 81.0.4044.138,,,2020-05-09 10:07:01,2020-05-09 10:07:34,32.938s,PASSED
"openBrowser(""https://lifecharger.org/"")",Chrome 81.0.4044.138,,,2020-05-09 10:07:01,2020-05-09 10:07:21,19.870s,PASSED
"click(findTestObject(""OR_TC001/Page_Life Charger   a new beginning/a_Archives""))",Chrome 81.0.4044.138,,,2020-05-09 10:07:21,2020-05-09 10:07:24,2.684s,PASSED
"click(findTestObject(""OR_TC001/Page_Archives  Life Charger/a_Books I am reading""))",Chrome 81.0.4044.138,,,2020-05-09 10:07:24,2020-05-09 10:07:30,6.057s,PASSED
"click(findTestObject(""OR_TC001/Page_Books I am reading  Life Charger/a_About""))",Chrome 81.0.4044.138,,,2020-05-09 10:07:30,2020-05-09 10:07:33,2.838s,PASSED
closeBrowser(),Chrome 81.0.4044.138,,,2020-05-09 10:07:33,2020-05-09 10:07:34,1.022s,PASSED
,,,,,,,
Test Cases/TC002_Second User,Chrome 81.0.4044.138,,,2020-05-09 10:07:34,2020-05-09 10:07:50,15.715s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 81.0.4044.138,,,2020-05-09 10:07:34,2020-05-09 10:07:48,14.024s,PASSED
closeBrowser(),Chrome 81.0.4044.138,,,2020-05-09 10:07:48,2020-05-09 10:07:50,1.362s,PASSED
